identifiant,titre,description,lien,état,prix,disponibilité,lien image,gtin,référence fabricant,marque
371,Sous-vêtement jetable pour femme - Tanga,"Sous-vêtements noirs, de type tanga, jetable pour femme.,
,Paquet de 12",https://massageboutik.com/fr/soins-de-corps/371-sous-vetement-jetable-pour-femme-tanga.html,new,CAD$5.99,In Stock,https://massageboutik.com/905-large_default/sous-vetement-jetable-pour-femme-tanga.jpg,,MB-CGDW02,
345,Bandeaux de micro-fibre (2),Paquet de 2 bandeaux de micro-fibre épais et luxueux pour tenir les cheveux de vos clients bien en place.,https://massageboutik.com/fr/vetements-d-interieur/345-bandeaux-de-micro-fibre-2.html,new,CAD$9.99,In Stock,https://massageboutik.com/855-large_default/bandeaux-de-micro-fibre-2.jpg,,AH100B-MB2,"
						Allez Housses
					"
618,Encens en bâtons - Coeur sacré - 20 bâtons,Boite de 20 bâtons d'encens fragrance Coeur sacré.,https://massageboutik.com/fr/encens/618-encens-en-batons-20-batons.html,new,CAD$3.00,In Stock,https://massageboutik.com/2759-large_default/encens-en-batons-20-batons.jpg,,ENCENS-SAC-22,
663,Couvercle à pompe,"Couvercle avec pompe pour pot de 9cm de diamètre.,
,
,A été testé et fonctionne avec:,
,
,Vitarub 4000gr,
,Orthorub 400gr,
",https://massageboutik.com/fr/bouteilles-pompes-et-ceintures/663-couvercle-a-pompe.html,new,CAD$8.99,In Stock,https://massageboutik.com/2897-large_default/couvercle-a-pompe.jpg,,JAR16Z,
839,Gel fraîcheur - Jambes lourdes,"Ce gel pour jambes lourdes est composé d’ingrédients naturels et d’huiles essentielles pour apporter un soulagement de vos clients. ,
,Fabriqué au Québec dans la région de Rougemont. ",https://massageboutik.com/fr/magasiner-tout-produits-massage-boutik/839-gel-fraicheur-jambes-lourdes.html,new,CAD$24.99,In Stock,https://massageboutik.com/3380-large_default/gel-fraicheur-jambes-lourdes.jpg,,PUR-0468,"
						Aurélie Savonnerie artisanale
					"
55,Baume Océanne,"Nos baumes de massage thérapeutiques vous offrent un doux mélange d’huiles sèches, hypo-allergènes, biologiques, de plantes biologiques macérées pendant plusieurs mois directement à notre atelier, et d’huiles essentielles 100% pures de première qualité.",https://massageboutik.com/fr/produits-de-massage/55-baume-oceanne.html,new,CAD$15.99,In Stock,https://massageboutik.com/163-large_default/baume-oceanne.jpg,,,"
						Les Soins Corporels l'Herbier
					"
575,"Diffuseur / Nébuliseur d'huiles essentielles ""Vita""","Diffuseur d'huiles essentielles ""Vita"",
,La diffusion d’huiles essentielles est une solution simple et naturelle pour améliorer la qualité de votre air et votre qualité de vie.,
,Ayant prouvé ses propriétés antimicrobiennes et antivirales, la diffusion d’huiles essentielles permet de fortement réduire le nombre de bactéries et de virus dans l’air.",https://massageboutik.com/fr/ambiance/575-diffuseur-nebuliseur-vita.html,new,CAD$89.99,In Stock,https://massageboutik.com/2630-large_default/diffuseur-nebuliseur-vita.jpg,,LT05-VITA,
922,Lavande & Jojoba - Huile de Massage - Cabine Exclusive,"Sa formule entièrement naturelle agit en cas de prédisposition aux phénomènes cellulitiques (peau d'orange, capitons...).",https://massageboutik.com/fr/magasiner-tout-produits-massage-boutik/922-huile-de-massage-a-la-lavande-cabine-exclusive.html,new,CAD$15.00,In Stock,https://massageboutik.com/3833-large_default/huile-de-massage-a-la-lavande-cabine-exclusive.jpg,,CABINE,"
						Silhouet-tone
					"
617,Encens en bâtons - Sauge Blanche - 20 bâtons,Boite de 20 bâtons d'encens fragrance Sauge Blanche.,https://massageboutik.com/fr/encens/617-encens-en-batons-sauge-blanche-20-batons.html,new,CAD$3.00,In Stock,https://massageboutik.com/2758-large_default/encens-en-batons-sauge-blanche-20-batons.jpg,,ENCENS-SAC-10,
593,Drap plat - Flanelle de coton,Drap plat fait de flanelle 100% coton de qualité supérieure.,https://massageboutik.com/fr/draps-et-ensemble-de-draps-de-massage/593-drap-plat-flanelle-de-coton.html,new,CAD$20.99,In Stock,https://massageboutik.com/2666-large_default/drap-plat-flanelle-de-coton.jpg,,AH810-FX,"
						Allez Housses
					"
