id,title,description,link,condition,price,availability,image link,gtin,mpn,brand
Ma99,Biogel – Chai Vitality,BIOGEL Chai Vitality is recommended for global or specific massages to help promote balance through the harmonisation of the body and of the mind.,https://massageboutik.com/en/massage-products/40-biogel-chai-vitality.html,new,CAD$9.89,In Stock,https://massageboutik.com/87-large_default/biogel-chai-vitality.jpg,,GELXXXVIT,"
						Les Soins Corporels l'Herbier
					"
Ma100,Massage oil Trio - 60ml,"Retail value more than 12$ for only 8$,
,
,- 100% pure Fractionnated Coconut Oil - 60ml,
,- Vibrant fragranced Mango Oil - 60ml,
,- 100% pure Rice Bran Oil - 60ml",https://massageboutik.com/en/shop-by-category-massage-boutik-products/999-black-friday-massage-oil-trio-60ml.html,new,CAD$8.40,In Stock,https://massageboutik.com/4390-large_default/black-friday-massage-oil-trio-60ml.jpg,,VF-TRIO,
Ma101,Carrot Mask peel-off,Buy Carrot Mask peel-off from Massage Boutik,https://massageboutik.com/en/shop-by-category-massage-boutik-products/907-carrot-mask-peel-off.html,new,CAD$5.50,In Stock,https://massageboutik.com/3749-large_default/carrot-mask-peel-off.jpg,,,"
						ORE
					"
Ma102,Chariot pour table,Oakworks table cart,https://massageboutik.com/en/accessories-for-massage-table/679-chariot-pour-table.html,new,CAD$125.99,In Stock,https://massageboutik.com/2943-large_default/chariot-pour-table.jpg,,26884,
Ma103,Percale Standard Pillow Cases,"Our percale pillowcase is open on the ends which makes it easy to slide in a pillow.,
,Size :, ,21"" x 30"" (54cm x 76cm)",https://massageboutik.com/en/shop-by-category-massage-boutik-products/886-percale-standard-pillow-cases.html,new,CAD$3.99,In Stock,https://massageboutik.com/3666-large_default/percale-standard-pillow-cases.jpg,,,
Ma104,Atlas d'anatomie humaine Netter,"Auteur :, NETTER, FRANK H.,Éditeur :, ELSEVIER-MASSON,Année :, 2015,Édition :, 6e éd.,ISBN :, 9782294741241,Format :, 22X28,5,Nombre de pages :, 628 p.,
",https://massageboutik.com/en/books-charts-and-reflexology/709-atlas-d-anatomie-humaine-netter-9782294741241.html,new,CAD$119.95,In Stock,https://massageboutik.com/2992-large_default/atlas-d-anatomie-humaine-netter.jpg,,9782294756290,
Ma105,Head massager,Buy Head massager from Massage Boutik,https://massageboutik.com/en/therapeutic-accessories-for-massage/557-head-massager.html,new,CAD$9.99,In Stock,https://massageboutik.com/2547-large_default/head-massager.jpg,,MASS-TETE,
Ma106,"Lavender (officinalis), Lavandula officinalis","Nervous system regulation, calming, sedative, anti-depressive, powerful antispasmodic, muscular decongestant, hypotensive+++. General and pulmonary antiseptic. Cardiotonic and tonic+, calming for heart nerves. Skin cicatrizer(healing)+, skin regenerative used externally. Anti-inflammatory and analgesic++.,
",https://massageboutik.com/en/ambience/281-lavender-officinalis-lavandula-officinalis.html,new,CAD$20.75,In Stock,https://massageboutik.com/643-large_default/lavender-officinalis-lavandula-officinalis.jpg,,HE LAOF BIO  XX,"
						Aliksir
					"
Ma107,St. John's-wort (Hypericum perforatum) Macerated Oil,"St. John's-wort (Hypericum perforatum) Macerated Oil,
,Native Americans use it as a tranquilizer as well as to treat cuts, skin problems, rheumatisms, respiratory problems, diarrhea, and fever.,
,Flower tops were also used to make dies for wool and silk. St. John’s-wort is widely known, notably for its antidepressant properties. It is used as an essential oil, maceration oil, and tincture.",https://massageboutik.com/en/shop-by-category-massage-boutik-products/1020-st-john-s-wort-hypericum-perforatum-macerated-oil.html,new,CAD$14.00,In Stock,https://massageboutik.com/4566-large_default/st-john-s-wort-hypericum-perforatum-macerated-oil.jpg,,,"
						Aliksir
					"
Ma108,Anti-cellulite panty - Solidea,"Solidea - Anti-cellulite panty,
,Made in Italy with the most modern technologies, high-quality materials and respectful of the environment.,
,Whether you're doing daily activities or exercising, these form-fitting shorts keep you fresh, safe and supported. Clinically proven to reduce the appearance of cellulite.",https://massageboutik.com/en/shop-by-category-massage-boutik-products/998-culotte-anti-cellulite-solidea.html,new,CAD$50.21,In Stock,https://massageboutik.com/4380-large_default/culotte-anti-cellulite-solidea.jpg,,,"
						SOLIDEA
					"
Ma109,Healthy Benefits Massage Gel - Biotone,"Healthy Benefits Massage Gel,
,Healthy Benefits Massage Gel offers significantly more coverage than oils, so you use much less.,
,This rich formula contains potent antioxidants of Pomegranate, Green Tea, White Grape, and Grapeseed to soften, soothe and protect.,
",https://massageboutik.com/en/shop-by-category-massage-boutik-products/960-healthy-benefits-massage-gel-biotone.html,new,CAD$25.99,In Stock,https://massageboutik.com/4041-large_default/healthy-benefits-massage-gel-biotone.jpg,,HBG,"
						Biotone
					"
Ma110,Collagen Mask peel-off,Buy Collagen Mask peel-off from Massage Boutik,https://massageboutik.com/en/shop-by-category-massage-boutik-products/906-collagen-mask-peel-off.html,new,CAD$6.99,In Stock,https://massageboutik.com/3748-large_default/collagen-mask-peel-off.jpg,,,"
						ORE
					"
Ma111,Epsom Salt,"Epsom's salts are made up of a naturally occurring mineral that is found in water, more properly known as magnesium sulfate.,
,When magnesium sulfate is absorbed through the skin, such as in a bath, it draws toxins from the body, sedates the nervous system, reduces swelling and relaxes muscles.",https://massageboutik.com/en/shop-by-category-massage-boutik-products/893-epsom-salt.html,new,CAD$45.00,In Stock,https://massageboutik.com/3705-large_default/epsom-salt.jpg,,ST-ES50,
Ma112,Flat Sheet 50/50 Polyester & Cotton,"Flat sheet 50/50 Polyester/Cotton,
,58 x 90 inches",https://massageboutik.com/en/massage-linen/828-3-piece-sheet-set-5050-polyester-cotton-.html,new,CAD$23.99,In Stock,https://massageboutik.com/4486-large_default/3-piece-sheet-set-5050-polyester-cotton-.jpg,,AH810-TPCX,"
						Allez Housses
					"
Ma113,DVD Hot Stone Jade,"Jade, revered for its ability to bring harmony and balance, brings new meaning to hot stone therapy.",https://massageboutik.com/en/books-charts-and-reflexology/685-dvd-hot-stone-jade.html,new,CAD$34.99,In Stock,https://massageboutik.com/2953-large_default/dvd-hot-stone-jade.jpg,,DVD03,
