id,title,description,link,condition,price,availability,image link,gtin,mpn,brand
Mass53,Pair of waterproof vinyl pillowcase- bolster 6x12 inches,,https://massageboutik.com/en/shop-by-category-massage-boutik-products/817-paire-de-taies-en-vinyle-impermeable-traversin-6x12.html,new,$19.99,In Stock,https://massageboutik.com/3299-large_default/paire-de-taies-en-vinyle-impermeable-traversin-6x12.jpg,,AH777S612-IMPER,"
				    Allez Housses
				"
Mass54,Aroma candle for massage,,https://massageboutik.com/en/massage-candles/849-bougie-aroma-pour-massage-eucalyptus.html,new,$13.00,In Stock,https://massageboutik.com/3473-large_default/bougie-aroma-pour-massage-eucalyptus.jpg,,,"
				    Les Soins Corporels l'Herbier
				"
Mass55,Pedi Spa Nomad Table,,https://massageboutik.com/en/massage-equipment/953-instant-with-back-rest-nomad-table.html,new,"$1,595.00",In Stock,https://massageboutik.com/3991-large_default/instant-with-back-rest-nomad-table.jpg,,,"
				    Nomad
				"
Mass56,Sheep's Milk Soap - Lavender & Chamomile,,https://massageboutik.com/en/body-care/705-savon-du-pays-chasses-taches-90gr.html,new,$6.50,In Stock,https://massageboutik.com/2982-large_default/savon-du-pays-chasses-taches-90gr.jpg,,ASA-0032,"
				    Aurélie Savonnerie artisanale
				"
Mass57,Electric Powered Ergonomic Table - 3 Sections,,https://massageboutik.com/en/massage-table/682-electric-powered-ergonomic-table.html,new,"$2,799.00",In Stock,https://massageboutik.com/4414-large_default/electric-powered-ergonomic-table.jpg,,,
Mass58,Gift card $25,,https://massageboutik.com/en/home/559-carte-cadeau.html,new,$25.00,In Stock,https://massageboutik.com/2553-large_default/carte-cadeau.jpg,,,
Mass59,3 Piece cotton sheet set - Navy,,https://massageboutik.com/en/massage-linen/656-3-piece-cotton-sheet-set.html,new,$64.99,In Stock,https://massageboutik.com/2872-large_default/3-piece-cotton-sheet-set.jpg,,,"
				    Allez Housses
				"
Mass60,Love incense stick - 20 stick,,https://massageboutik.com/en/incense/446-love-incense-stick-20-stick.html,new,$3.00,In Stock,https://massageboutik.com/2455-large_default/love-incense-stick-20-stick.jpg,,ENCENS-SAC-24,
Mass61,Coussin de corps en billes de polystyrène - 8x60,,https://massageboutik.com/en/massage-bolsters-and-cushions/407-coussin-de-corps-en-billes-de-polystyrene-8x60.html,new,$99.99,In Stock,https://massageboutik.com/1006-large_default/coussin-de-corps-en-billes-de-polystyrene-8x60.jpg,,AH778GP860,"
				    Allez Housses
				"
Mass62,NOMAD WOODEN STOOL WITH CASTERS,,https://massageboutik.com/en/massage-equipment/397-tabouret-rond-en-bois-nomad.html,new,$173.00,In Stock,https://massageboutik.com/961-large_default/tabouret-rond-en-bois-nomad.jpg,,3696-XXXX,"
				    Nomad
				"
Mass63,Fabric squares 6x6 inches - 25 units,,https://massageboutik.com/en/body-care-accessories/556-fabric-squares-6x6-25-units.html,new,$1.99,In Stock,https://massageboutik.com/2546-large_default/fabric-squares-6x6-25-units.jpg,,,"
				    Allez Housses
				"
Mass64,4 pcs Original Body Cushion for Pregnancy & Prone positioning,,https://massageboutik.com/en/body-cushions-for-pregnancy-massage/375-4-pcs-original-body-cushion.html,new,$699.99,In Stock,https://massageboutik.com/913-large_default/4-pcs-original-body-cushion.jpg,,BC450-2,
Mass65,Set of 8 bamboo sticks for oil massage,,https://massageboutik.com/en/massage-bamboos/363-ens-de-8-bambous-pour-le-massage-a-l-huile.html,new,$189.99,In Stock,https://massageboutik.com/897-large_default/ens-de-8-bambous-pour-le-massage-a-l-huile.jpg,,1001-CF,"
				    Bamboo Fusion
				"
Mass66,Housse pour appui-bras latéraux,,https://massageboutik.com/en/massage-linen/381-housse-pour-appui-bras-lateraux.html,new,$10.99,In Stock,https://massageboutik.com/926-large_default/housse-pour-appui-bras-lateraux.jpg,,AH700ABL-TCX,"
				    Allez Housses
				"
Mass67,6X12 Bolster Covers,,https://massageboutik.com/en/massage-equipment/390-6x12-bolster-covers.html,new,$14.99,In Stock,https://massageboutik.com/947-large_default/6x12-bolster-covers.jpg,,AH777S612-TCX,"
				    Allez Housses
				"
Mass68,Covers for 6X9 Shoulder Pillow,,https://massageboutik.com/en/massage-equipment/393-covers-for-6x9-shoulder-pillow.html,new,$9.99,In Stock,https://massageboutik.com/950-large_default/covers-for-6x9-shoulder-pillow.jpg,,AH777OE-TCX,"
				    Allez Housses
				"
Mass69,Hot Shell Belt,,https://massageboutik.com/en/massage-shells/368-hot-shell-belt.html,new,$24.99,In Stock,https://massageboutik.com/900-large_default/hot-shell-belt.jpg,,AH00CPQ-NOIR,"
				    Allez Housses
				"
Mass70,Pressotherapy Socks - Cotton Knit,,https://massageboutik.com/en/body-care/380-bas-de-pressotherapie-tricot-de-coton.html,new,$14.99,In Stock,https://massageboutik.com/925-large_default/bas-de-pressotherapie-tricot-de-coton.jpg,,,"
				    Allez Housses
				"
Mass71,Pregnancy cushion,,https://massageboutik.com/en/massage-equipment/374-pregnancy-cushion.html,new,$299.99,In Stock,https://massageboutik.com/4524-large_default/pregnancy-cushion.jpg,,,
Mass72,Traversin vinyle 1/2 lune,,https://massageboutik.com/en/massage-bolsters-and-cushions/359-traversin-vinyle-12-lune.html,new,$42.99,In Stock,https://massageboutik.com/888-large_default/traversin-vinyle-12-lune.jpg,,TRAV926DL-,
Mass73,Coussin appui-tête Mousse Mémoire Nomad,,https://massageboutik.com/en/accessories-for-massage-table/357-coussin-appui-tete-mousse-memoire-nomad.html,new,$146.00,In Stock,https://massageboutik.com/885-large_default/coussin-appui-tete-mousse-memoire-nomad.jpg,,,"
				    Nomad
				"
Mass74,Cercle de réflexologie des Pieds,,https://massageboutik.com/en/various/339-cercle-de-reflexologie-des-pieds.html,new,$24.99,In Stock,https://massageboutik.com/831-large_default/cercle-de-reflexologie-des-pieds.jpg,,Revelpieds,
Mass75,Kimono Bathrobe - Men,,https://massageboutik.com/en/lingerie/318-robe-de-chambre-kimono.html,new,$79.99,In Stock,https://massageboutik.com/3158-large_default/robe-de-chambre-kimono.jpg,,,"
				    Allez Housses
				"
Mass76,Terry mitt/glove (short) - Pair,,https://massageboutik.com/en/body-care-accessories/358-terry-mittsglove-pair.html,new,$9.99,In Stock,https://massageboutik.com/886-large_default/terry-mittsglove-pair.jpg,,AH00MC-RX2,"
				    Allez Housses
				"
Mass77,Pillowcase for Ergonomic Pillow,,https://massageboutik.com/en/massage-linen/356-memory-foam-ergonomic-pillowcases-pair.html,new,$16.99,In Stock,https://massageboutik.com/4505-large_default/memory-foam-ergonomic-pillowcases-pair.jpg,, ,"
				    Allez Housses
				"
Mass78,Biodegradable disposabal sheet,,https://massageboutik.com/en/massage-linen/342-drap-jetable-biodegradable.html,new,$24.99,In Stock,https://massageboutik.com/840-large_default/drap-jetable-biodegradable.jpg,,AH100DJ-XX,
Mass79,Curly Fleece Wrap for Women,,https://massageboutik.com/en/lingerie/320-curly-fleece-wrap-for-women.html,new,$22.99,In Stock,https://massageboutik.com/769-large_default/curly-fleece-wrap-for-women.jpg,,,"
				    Allez Housses
				"
Mass80,Nomad Extreme de Luxe with back rest table,,https://massageboutik.com/en/massage-table/317-nomad-extreme-de-luxe-with-back-rest-table.html,new,"$1,595.00",In Stock,https://massageboutik.com/2791-large_default/nomad-extreme-de-luxe-with-back-rest-table.jpg,,,"
				    Nomad
				"
Mass81,Coussin appui-tête Mousse Mémoire,,https://massageboutik.com/en/massage-equipment/336-coussin-appui-tete-mousse-memoire.html,new,$59.99,In Stock,https://massageboutik.com/816-large_default/coussin-appui-tete-mousse-memoire.jpg,,MB-101-XXX,
Mass82,Housse de tabouret selle,,https://massageboutik.com/en/massage-equipment/308-housse-de-tabouret-selle.html,new,$14.99,In Stock,https://massageboutik.com/700-large_default/housse-de-tabouret-selle.jpg,,AH700TS-TCX,"
				    Allez Housses
				"
Mass83,Saddle ergonomical Stool,,https://massageboutik.com/en/massage-equipment/307-saddle-stool.html,new,$129.99,In Stock,https://massageboutik.com/845-large_default/saddle-stool.jpg,,SDL-STOOL-XXX,
Mass84,Natural Lava Shells®,,https://massageboutik.com/en/massage-shells/309-natural-lava-shells.html,new,$44.99,In Stock,https://massageboutik.com/702-large_default/natural-lava-shells.jpg,,PSM-LS1-N,"
				    LavaShell
				"
Mass85,Heated rye slippers,,https://massageboutik.com/en/lingerie/296-pantoufle-semelle-rechauffante.html,new,$26.99,In Stock,https://massageboutik.com/2715-large_default/pantoufle-semelle-rechauffante.jpg,,,"
				    Allez Housses
				"
Mass86,Petit bas (Pichous),,https://massageboutik.com/en/slippers-and-mules/295-petit-bas-pichous.html,new,$4.99,In Stock,https://massageboutik.com/665-large_default/petit-bas-pichous.jpg,,MINIBASGRX-XXX,"
				    Allez Housses
				"
Mass87,Housses 7 morceaux pour chaise de massage,,https://massageboutik.com/en/massage-chair/294-housses-7-morceaux-pour-chaise-de-massage.html,new,$39.99,In Stock,https://massageboutik.com/664-large_default/housses-7-morceaux-pour-chaise-de-massage.jpg,,AH700CM7-XXX,"
				    Allez Housses
				"
Mass88,Digital Moist Heating Pad - Therathem,,https://massageboutik.com/en/therapeutic-accessories-for-massage/226-coussin-chauffant-theratherm-14x27.html,new,$119.99,In Stock,https://massageboutik.com/4243-large_default/coussin-chauffant-theratherm-14x27.jpg,, ,
